계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
현금 및 현금성자산,"157,825,248","140,253,467","299,347,523","141,212,446","151,864,129","107,161,322","146,937,996","130,076,454","187,129,030","123,417,859","127,234,507","139,708,138"
직영AR,"79,846,330","54,085,500","44,042,639","54,341,765","68,698,516","32,269,240","35,915,894","48,169,190","40,924,610","122,575,960","61,531,993","52,193,080"
대리상AR,"564,738,331","542,417,644","411,965,538","288,737,532","223,723,901","285,858,422","379,645,109","537,707,312","872,883,321","780,781,454","638,729,934","672,991,268"
MLB,"681,041,389","741,551,104","520,208,840","400,088,297","439,174,424","511,107,606","915,830,174","1,184,367,470","1,228,506,164","1,012,844,850","1,016,732,383","1,260,042,373"
KIDS,"70,252,134","58,661,174","59,236,366","53,669,260","50,899,470","56,033,100","65,802,731","69,641,836","73,563,127","62,077,574","62,326,175","66,326,475"
DISCOVERY,"14,156,605","23,728,527","33,491,339","35,298,753","35,726,121","34,580,385","50,554,454","73,492,925","130,573,729","161,648,451","160,625,439","171,427,142"
선급금(본사),"470,000,000","270,000,000","40,000,000","350,000,000","350,000,000","350,000,000","350,000,000","200,000,000", - , - ,"350,000,000","350,000,000"
선급금(기타),"28,416,370","32,028,779","43,335,165","24,627,008","27,883,013","22,116,486","21,133,633","21,133,633","36,429,163","99,977,766","108,170,905","67,416,929"
기타 유동자산,"61,649,335","71,911,961","45,155,145","95,665,471","106,952,053","96,396,892","65,256,215","61,445,296","98,529,461","99,616,471","92,531,599","43,599,447"
사용권자산,"234,526,114","234,526,114","182,542,018","182,542,018","182,542,018","162,711,426","162,711,426","162,711,426","155,377,388","155,377,388","155,377,388","155,377,388"
이연법인세자산,"80,153,961","80,153,961","83,870,324","80,153,961","104,548,652","104,000,420","104,548,652","104,548,652","108,218,278","104,548,652","104,548,652","108,410,788"
"유,무형자산","49,893,607","47,381,145","45,270,528","42,531,298","42,444,673","40,698,384","42,455,938","41,654,394","41,225,820","39,601,296","39,679,170","38,763,445"
본사 AP,"425,405,444","308,621,019","149,512,428","125,418,005","202,621,185","334,660,474","682,918,216","719,314,441","588,330,813","407,017,372","515,685,078","732,511,214"
제품 AP,"76,175,187","51,379,866","32,406,569","30,362,902","38,331,963","18,153,011","36,879,443","46,360,164","78,851,807","27,947,274","31,389,369","21,410,471"
차입금,"510,000,000","460,000,000","280,000,000","230,000,000","150,000,000","170,000,000","330,000,000","540,000,000","816,000,000","836,000,000","880,000,000","909,685,078"
대리상선수금,"418,644,354","416,539,251","399,787,046","405,247,553","413,974,988","403,484,629","402,943,964","415,928,411","428,353,677","408,369,904","405,293,508","404,257,855"
대리상지원금,"144,514,297","152,215,899","143,664,419","103,015,526","91,612,773","101,298,129","102,332,318","92,089,980","164,605,264","182,310,166","175,283,398","161,834,587"
기타 유동부채,"200,135,509","190,000,365","136,875,577","200,570,902","235,362,467","136,526,129","116,791,147","89,312,677","171,077,775","163,336,204","188,884,157","140,468,331"
"리스부채(장,단기)","247,089,330","247,089,330","192,957,604","192,957,604","192,957,604","173,200,570","173,200,570","173,200,570","163,383,989","163,383,989","163,383,989","153,383,989"
장기보증금,"29,087,019","30,287,019","39,506,222","40,266,222","40,266,222","41,186,222","41,186,222","41,186,222","39,286,222","39,286,222","39,286,222","39,086,222"
자본금,"35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903"
이익잉여금,"405,817,381","404,935,722","398,124,658","385,398,192","383,698,865","388,793,618","418,909,441","481,925,219","487,839,641","499,185,687","482,651,523","527,987,822"
